Combined_Key,Population
"Marion, Illinois, US",37205
"Marshall, Illinois, US",11438
"Mason, Illinois, US",13359
"Massac, Illinois, US",13772
"Menard, Illinois, US",12196
"Mercer, Illinois, US",15437
"Monroe, Illinois, US",34637
"Montgomery, Illinois, US",28414
"Morgan, Illinois, US",33658
"Moultrie, Illinois, US",14501
"Ogle, Illinois, US",50643
"Peoria, Illinois, US",179179
"Perry, Illinois, US",20916
"Piatt, Illinois, US",16344
"Pike, Illinois, US",15561
"Pope, Illinois, US",4177
"Pulaski, Illinois, US",5335
"Putnam, Illinois, US",5739
"Randolph, Illinois, US",31782
"Richland, Illinois, US",15513
"Rock Island, Illinois, US",141879
"St. Clair, Illinois, US",259686
"Saline, Illinois, US",23491
"Sangamon, Illinois, US",194672
"Schuyler, Illinois, US",6768
"Scott, Illinois, US",4951
"Shelby, Illinois, US",21634
"Stark, Illinois, US",5342
"Stephenson, Illinois, US",44498
"Tazewell, Illinois, US",131803
"Union, Illinois, US",16653
"Vermilion, Illinois, US",75758
"Wabash, Illinois, US",11520
"Warren, Illinois, US",16844
"Washington, Illinois, US",13887
"Wayne, Illinois, US",16215
"White, Illinois, US",13537
"Whiteside, Illinois, US",55175
"Will, Illinois, US",690743
"Williamson, Illinois, US",66597
"Winnebago, Illinois, US",282572
"Woodford, Illinois, US",38459
"Adams, Indiana, US",35777
"Allen, Indiana, US",379299
"Bartholomew, Indiana, US",83779
"Benton, Indiana, US",8748
"Blackford, Indiana, US",11758
"Boone, Indiana, US",67843
"Brown, Indiana, US",15092
"Carroll, Indiana, US",20257
"Cass, Indiana, US",37689
"Clark, Indiana, US",118302
"Clay, Indiana, US",26225
"Clinton, Indiana, US",32399
"Crawford, Indiana, US",10577
"Daviess, Indiana, US",33351
"Dearborn, Indiana, US",49458
"Decatur, Indiana, US",26559
"DeKalb, Indiana, US",43475
"Delaware, Indiana, US",114135
"Dubois, Indiana, US",42736
"Elkhart, Indiana, US",206341
"Fayette, Indiana, US",23102
"Floyd, Indiana, US",78522
"Fountain, Indiana, US",16346
"Franklin, Indiana, US",22758
"Fulton, Indiana, US",19974
"Gibson, Indiana, US",33659
"Grant, Indiana, US",65769
"Greene, Indiana, US",31922
"Hamilton, Indiana, US",338011
"Hancock, Indiana, US",78168
"Harrison, Indiana, US",40515
"Hendricks, Indiana, US",170311
"Henry, Indiana, US",47972
"Howard, Indiana, US",82544
"Huntington, Indiana, US",36520
"Jackson, Indiana, US",44231
"Jasper, Indiana, US",33562
"Jay, Indiana, US",20436
"Jefferson, Indiana, US",32308
"Jennings, Indiana, US",27735
"Johnson, Indiana, US",158167
"Knox, Indiana, US",36594
"Kosciusko, Indiana, US",79456
"LaGrange, Indiana, US",39614
"Lake, Indiana, US",485493
"LaPorte, Indiana, US",109888
"Lawrence, Indiana, US",45370
